"","attScores"
"SCGB2A2",0.236797259540565
"SCGB1D2",0.047828741169985
"MUCL1",0.31918053332474
"TFF1",0.631777373320285
"PIP",0.31918053332474
"GSTM1",0.445928198621485
"CYP2B7P1",0.103572437116234
"CPB1",0.020570659450693
"TFAP2B",0.631777373320285
"LTF",0.31918053332474
"CST1",1
"ANKRD30A",0.047828741169985
"CYP4Z1",0.236797259540565
"ADH1B",0.609986547010987
"HMGCS2",0.236797259540565
"BMPR1B",1
"C1orf64",0.631777373320285
"CALML5",0.631777373320285
"DHRS2",0.31918053332474
"GABRP",0.31918053332474
"FABP4",0.609986547010987
"KRT5",0.31918053332474
"CEACAM6",0.236797259540565
"ADIPOQ",0.609986547010987
"S100P",1
"TNNT1",0.31918053332474
"SFRP1",0.609986547010987
"CRABP1",0.31918053332474
"PGR",0.124511249783653
"KRT14",0.31918053332474
"NAT1",0.631777373320285
"AGR3",0.236797259540565
"PROM1",0.31918053332474
"CLEC3A",0.103572437116234
"STAC2",0.31918053332474
"NKAIN1",0.432538067766313
"EEF1A2",0.609986547010987
"FDCSP",0.31918053332474
"GFRA1",0.264097775053141
"NPY1R",0.124511249783653
"KRT17",0.31918053332474
"NLRP2",0.264097775053141
"SOX10",0.31918053332474
"PPP1R1B",0.264097775053141
"PEG10",0.103572437116234
"KRT15",0.31918053332474
"SCUBE2",0.631777373320285
"CLIC6",0.103572437116234
"SERPINA11",0.236797259540565
"SCGB2A1",0.31918053332474
"CIDEC",0.609986547010987
"SYT13",0.432538067766313
"PRAME",1
"GP2",0.236797259540565
"SLC7A2",0.264097775053141
"CHAD",0.631777373320285
"PLIN1",0.609986547010987
"SAA1",0.264097775053141
"SLC34A2",0.31918053332474
"KLK5",0.31918053332474
"PIGR",0.31918053332474
"ABCC11",0.264097775053141
"CYP4X1",0.236797259540565
"CXCL13",0.432538067766313
"CALML3",0.31918053332474
"ELF5",0.31918053332474
"TFF3",1
"ELOVL2",0.631777373320285
"STC2",0.31918053332474
"KRT6B",0.31918053332474
"S100A7",0.31918053332474
"PDZK1",0.631777373320285
"LRG1",0.631777373320285
"SCGB3A1",0.31918053332474
"COL11A1",0.631777373320285
"CCL21",0.445928198621485
"GPD1",1
"GRPR",0.31918053332474
"CEACAM5",0.103572437116234
"PPP2R2C",0.631777373320285
"THRSP",0.609986547010987
"SERPINA5",0.103572437116234
"COL17A1",0.31918053332474
"WFDC2",0.631777373320285
"MMP1",0.631777373320285
"C10orf82",0.047828741169985
"IGJ",0.31918053332474
"OBP2B",0.31918053332474
"LRP2",0.236797259540565
"ARHGAP40",0.31918053332474
"BPIFB1",0.631777373320285
"PYDC1",0.103572437116234
"TRIM29",0.31918053332474
"PLIN4",0.631777373320285
"SLITRK6",0.236797259540565
"FOXI1",0.631777373320285
"KCNJ3",0.631777373320285
"MIR650",0.31918053332474
"APOD",0.264097775053141
"LCN2",0.631777373320285
"SERPINB5",0.31918053332474
"FOLR1",0.31918053332474
"DARC",0.631777373320285
"AKR7A3",0.631777373320285
"MUC5B",1
"PTPRT",0.047828741169985
"ESR1",0.631777373320285
"IGLL5",0.31918053332474
"TCN1",0.31918053332474
"SUSD3",0.631777373320285
"C16orf89",0.445928198621485
"MMP13",1
"VTCN1",0.631777373320285
"S100A9",0.31918053332474
"DSCAM.AS1",0.631777373320285
"MAOB",0.631777373320285
"FSIP1",0.124511249783653
"PLA2G2A",0.445928198621485
"SLPI",0.236797259540565
"TPRG1",0.264097775053141
"KRT23",0.31918053332474
"C7",0.264097775053141
"CYP4Z2P",0.264097775053141
"PON3",0.124511249783653
"CP",0.103572437116234
"CAPN8",0.236797259540565
"WNK4",0.236797259540565
"KRT16",0.31918053332474
"TAT",0.31918053332474
"FLJ45983",0.236797259540565
"CXCL14",0.609986547010987
"RBP4",0.609986547010987
"PVALB",0.103572437116234
"KLK11",0.31918053332474
"FAM3B",0.236797259540565
"GLYATL2",0.31918053332474
"CCL19",0.631777373320285
"CCNO",0.432538067766313
"FOSB",0.445928198621485
"CXCL9",1
"RIMS4",0.103572437116234
