,rank
SCGB1D2,3515
MUCL1,2192
TFF1,9
PIP,3048
GSTM1,1465
CYP2B7P1,58
CPB1,53
TFAP2B,559
LTF,8868
CST1,5
ANKRD30A,12345
CYP4Z1,635
ADH1B,10
HMGCS2,2947
BMPR1B,354
C1orf64,664
CALML5,73
DHRS2,7053
GABRP,9941
FABP4,60
KRT5,2298
CEACAM6,94
ADIPOQ,38
S100P,6
TNNT1,1235
SFRP1,264
CRABP1,6555
PGR,6498
KRT14,2776
NAT1,245
AGR3,1128
PROM1,4487
CLEC3A,2201
STAC2,3257
NKAIN1,1703
EEF1A2,108
FDCSP,86
GFRA1,3843
NPY1R,1947
KRT17,605
NLRP2,2051
SOX10,1112
PPP1R1B,6273
PEG10,3581
KRT15,13883
SCUBE2,4256
CLIC6,3532
SERPINA11,1835
SCGB2A1,5634
CIDEC,91
SYT13,10095
PRAME,10881
GP2,112
SLC7A2,4818
CHAD,458
PLIN1,182
SAA1,1618
SLC34A2,13714
KLK5,5329
PIGR,421
ABCC11,4128
CYP4X1,1250
CXCL13,3433
CALML3,2185
ELF5,401
TFF3,46
ELOVL2,3001
STC2,10614
KRT6B,1494
S100A7,11866
PDZK1,1118
LRG1,1063
SCGB3A1,4130
COL11A1,2974
CCL21,13381
GPD1,17
GRPR,10689
CEACAM5,59
PPP2R2C,5395
THRSP,158
SERPINA5,537
COL17A1,2268
WFDC2,416
MMP1,766
C10orf82,975
IGJ,4566
OBP2B,487
LRP2,12540
ARHGAP40,3775
BPIFB1,314
PYDC1,122
TRIM29,12868
PLIN4,49
SLITRK6,305
FOXI1,2278
KCNJ3,762
MIR650,13807
APOD,1138
LCN2,254
SERPINB5,11566
FOLR1,8673
DARC,9657
AKR7A3,220
MUC5B,126
PTPRT,12301
ESR1,2692
IGLL5,3235
TCN1,2527
SUSD3,371
C16orf89,3582
MMP13,280
VTCN1,162
S100A9,6849
DSCAM.AS1,407
MAOB,147
FSIP1,2208
PLA2G2A,8329
SLPI,8814
TPRG1,1168
KRT23,1398
C7,13183
CYP4Z2P,1039
PON3,1387
CP,13059
CAPN8,1340
WNK4,1466
KRT16,742
TAT,8614
FLJ45983,1740
CXCL14,925
RBP4,232
PVALB,11401
KLK11,1222
FAM3B,12793
GLYATL2,11315
CCL19,13
CCNO,5603
FOSB,12919
CXCL9,31
RIMS4,10033
CXCL17,914
SHISA2,13463
PKP1,2171
MIR205HG,12886
PI16,442
HOXC11,331
PPP1R1A,111
LOC100128098,3474
SPINK8,5183
HOXC10,415
AGR2,229
ELK2AP,313
CD36,47
RET,872
TMEM150C,4982
TUSC5,240
S100A8,13119
TSPAN1,131
KRT81,509
DNAJC12,8407
TMPRSS3,153
C2orf40,71
KLK6,8573
S100A1,5686
GREB1,9555
MSMB,5739
COL10A1,64
SDR16C5,1052
S100B,117
PHYHD1,2434
CHRDL1,155
DIO1,3405
OGN,295
HSPB8,3774
FLJ23152,115
FADS2,2639
SYT9,3146
HRASLS5,533
TF,110
BCAS1,1229
IRX1,2297
SPTSSB,10428
C2orf54,3453
HGD,8639
PHGR1,1892
CNTNAP2,9232
CCL18,1883
ACTG2,1361
LOC389033,1638
FAM83E,241
CYP4B1,2398
SERPINA6,1917
CRYAB,72
TMC5,3072
VSIG2,3647
MYBPC1,70
TFPI2,4150
HOTAIR,8961
STEAP4,2531
KCNE4,83
PRODH,13368
MMP7,865
MAPT,13010
BBOX1,8138
DEFB1,3466
DSC3,13177
NELL2,210
IGLL1,761
DEGS2,160
AGTR1,12010
SOSTDC1,3702
DSG3,11278
CHI3L2,8527
HIST1H3H,7555
FABP7,3384
CACNG4,10202
MGP,12817
COMP,163
AREG,8797
NTN4,2984
KLK7,2973
KLHDC7A,2998
AFF3,4032
OLFM4,511
NOVA1,11074
SIX1,12098
MMP11,1
SNCG,1418
CYP4F22,96
KLK10,6719
SYT1,794
CLSTN2,1315
CLGN,755
CHI3L1,6802
ST8SIA6,11673
C10orf81,11848
GRIK3,1232
TNS4,8278
VGLL1,12938
AQP5,1552
HPX,7902
PI3,4568
OSR1,6469
MAOA,8
PCOLCE2,82
CNTFR,243
SLC40A1,2566
G0S2,3605
CFB,965
TTC36,4115
KCNK15,2930
HIST1H4H,6493
ATP6V1B1,13718
SLC5A1,6431
CFD,687
SLC27A2,6062
C19orf21,104
TRPV6,8142
NEK10,5181
CD79A,385
GSTT1,659
CST2,22
TPTEP1,1025
ADCY5,6637
AQP7,21
ADAMTS15,4913
ALDH3B2,4437
CXCL11,44
LRRC15,1228
CA12,2432
PP14571,398
SAA2,4181
MUC15,1504
TPSD1,12141
PLIN5,5517
CLPSL1,3478
CCL28,909
KIF12,183
FOS,1485
SYNM,79
COL14A1,684
AQP3,8679
ERAP2,1219
GRP,1875
BPIFB2,2206
TP63,330
SLC39A6,963
MIR205,5679
IL33,2351
GPC3,366
VWA2,1888
ID4,764
ALOX15B,123
SYT8,3338
SLC44A4,994
THBS4,8217
IFI6,15
TPSB2,13621
IL20,516
S100A2,10375
CLCA2,142
LPPR3,376
PADI2,3539
ITGB6,10544
CXCL10,12
CHST8,5458
C1orf116,604
TUBB3,37
ASPN,8250
SLC1A1,2678
MMP9,81
FGF10,311
RBM24,7825
PGLYRP2,7975
NGFR,2946
SERPINA3,1455
STK32B,10738
LRRN1,2711
HSPB6,51
TGFBR3,113
FMO2,136
F7,508
GDF15,48
CPA3,2191
IL20RA,12358
LIN7A,6855
CIDEA,167
PSCA,5077
CLPSL2,4724
KCNK1,9438
CILP,13720
SPP1,4926
MUC1,67
AKR1C1,127
DOK7,1952
MFAP4,934
PSAT1,10412
PTGDS,8657
HOXB2,3932
LRRC31,723
MYBL2,224
PTN,1067
ISG15,3
CRIP1,1031
NCCRP1,5674
EGR3,11807
NBPF4,335
TPSAB1,13103
CAPN6,786
RAI2,2110
MS4A15,8938
LY6K,1532
SPESP1,2629
MT1G,3050
UGT2B11,213
NEURL,9916
HIST1H2AI,6772
SLC16A6,1746
ZMYND10,184
HBB,29
ERBB4,4591
LOC728606,712
TIMP4,7
PI15,448
WISP2,1633
KLK4,5589
TMPRSS6,4164
LAMC2,2149
LAMB3,2118
CHIT1,677
PLAC2,9179
LPL,62
PDK4,125
SYTL5,3662
PDZK1IP1,4189
SCNN1B,7154
ANXA3,3887
C8orf84,691
MT1A,11326
PPAPDC1A,767
DCDC2,4928
GJB2,482
AK5,3047
FXYD1,129
LRRC26,1186
TMEM139,3007
EGR1,4811
SLC7A4,12089
MAPK15,1310
HIST1H2BG,1308
ACOX2,2117
CLDN8,864
POF1B,6152
B3GNT3,5219
ZNF238,1635
CBX2,8400
SEC14L2,4948
TPSG1,13275
CTNND2,4316
MMP3,294
ANKRD30B,5573
BEX1,2585
C8orf85,920
KIT,492
CST4,36
FGFR3,672
LOC654433,2077
GLYATL1,9877
DACH1,2541
GPR77,1333
C1orf106,3751
XIST,3028
ANGPTL4,5680
PTGER3,1454
MUC6,733
EPYC,10877
C10orf116,1116
DUSP4,5158
AGT,504
UBD,702
ANPEP,4631
RAMP1,552
ABAT,10011
REEP6,587
GZMK,124
CA8,1999
NTRK2,284
HOXB13,3953
RASD1,7325
MYH11,348
PITX1,33
ELN,11203
SOWAHA,151
THSD4,10701
DNALI1,12339
C2orf72,6356
MIR29B2,11350
ADAMDEC1,317
CALB2,547
FAM189A2,194
CCDC74A,4710
HIST1H2BC,10416
CRISPLD1,2188
NPNT,2543
LGR6,867
BARX2,3829
MARCO,2732
ABCA12,13498
CDH3,5361
CST9,273
LAMP5,4665
GSTM3,3459
TFCP2L1,3784
CITED4,1003
F2RL2,2180
MZB1,1029
C8orf4,10845
MIR29C,5389
GRAMD2,11290
PPP1R14C,8973
SDPR,246
HBA2,121
CTSG,3920
LINC00277,4774
PKIB,2771
CACNA1H,3580
LAMA3,728
PPP1R3C,1873
MATN2,450
LYPD6B,1826
LYPD6,9261
PEG3,484
KRT7,400
HEPACAM2,5827
PLCH1,9030
RARRES1,13286
HIST1H1C,6580
TBC1D9,7971
MEOX1,5892
TOX3,743
CLEC10A,4076
MIR30C2,7367
GJB1,2203
IGF1,711
SLC13A2,594
ABCC8,3023
TMEM26,8310
LINGO1,405
CES1,315
INHBA,1216
RGMA,2370
ZBTB16,26
MT1E,4102
ADCY1,298
SOCS2,9857
IRX2,1969
LOC645249,2835
CBS,632
PRR15,734
SYT17,5220
RPS28,653
SERHL2,7148
SAMD11,689
C5orf4,133
HS6ST3,8041
KCNF1,10794
ASS1,9092
PCSK1N,628
DPT,526
IDO1,8470
TMEM45B,13005
CST6,2575
SOD3,5363
MATN3,13757
GALNT6,2264
ERP27,729
RASSF10,3971
FMO5,6730
KLK8,3667
LOC100131289,1731
AKR1C2,65
CX3CL1,1912
VANGL2,6740
SIX2,4378
NCAM2,6932
TSPAN8,1111
NFKBIZ,11297
OMD,561
TSPYL5,1597
ABCA8,178
CT62,5034
FGD3,494
SLC28A3,12228
NXNL2,1843
GRB14,13917
HSD17B2,1514
GALNTL1,1537
RBP1,12705
SELP,13559
CAPS,380
SEMA3B,793
CNTD2,42
MAPK8IP2,188
EGFR,286
IFI27,389
HIST1H3D,4933
IL7R,3371
PARD6B,1665
TBX1,1034
CITED1,6140
ATHL1,1445
LBP,2897
STC1,519
NDP,11338
COX6C,610
RAB26,881
ALDOC,1209
LYZ,7165
CYP4F11,1295
SCNN1G,6005
S100A14,216
HCAR1,406
SLC7A5,28
HIST3H2A,1102
PRSS16,9542
POU2AF1,2371
GPX3,320
LOC100130417,1904
GBP5,505
LOC284581,1792
SYNDIG1,4770
CDCA7,3288
FN1,1331
EYA2,3226
EDIL3,1301
HIST1H2AE,7036
PCDHB2,8245
FCER1A,903
PNMAL1,5481
FAM107A,3522
CHRD,2400
ATP6V0A4,4598
ETV4,6876
CCDC74B,11467
FBXL16,212
MESP1,9248
FOXC1,12706
CRABP2,1513
NR4A1,411
ADAMTS16,8197
IFIT1,1933
MIR663A,43
EDN2,244
MIR320A,8415
PRELP,1141
FBXO2,5846
SFRP4,12630
MX1,252
PCP2,750
IGSF21,263
COL2A1,7707
LOC389493,860
BMP4,2668
MMP12,1247
CYBRD1,3309
TRIM58,1096
TNN,4174
LOC339535,2055
HIST1H2BH,3204
SEMA3E,10711
HOXC13,834
CLDN11,756
METRN,627
MIA,7413
ABLIM3,912
BAIAP3,10444
ANXA9,11837
CNN1,1965
GABRE,1010
KCNN4,11962
POSTN,1607
SEZ6L2,7122
LOC100131320,8212
ROPN1,2957
EFEMP1,800
ABI3BP,2739
ENHO,12666
HRCT1,9085
DGAT2,1062
SLC6A14,3043
GATA3,2980
BAMBI,2610
LRRC17,1151
IGFALS,5804
UBE2C,165
NME5,10715
PLEKHB1,4802
RBP7,5278
F3,1710
GSTP1,9571
QPRT,2661
UNC5A,1371
LDHB,1941
ITGB8,9623
CA2,1512
HPN,949
CXCL2,725
EHF,5716
PLAT,13349
USP32P1,2892
LEP,80
SLC4A8,3565
SMOC1,5179
CCDC78,308
C6orf97,8021
ADH1C,54
FLRT3,2354
LOC145837,6743
IL6,420
GSTM2,579
FUT3,10355
HRASLS2,5564
KIAA1467,6319
RERGL,140
DNAJC22,9568
PTX3,874
KCND3,7432
MT1M,5480
OLFM1,7580
VSTM2L,2981
CPNE7,553
CREB3L1,490
CX3CR1,2373
NRIP3,5820
TTYH1,2867
IGFBP5,1064
MIR614,611
SHROOM1,171
GZMB,936
GPT,2000
C9orf152,13924
F13A1,3242
ST6GALNAC5,1343
GALNT3,9918
CRISP3,13141
ESPN,173
PLAC9,1935
CD3E,474
CKMT1A,4857
TMTC1,440
PTPRN2,7226
MET,4281
BAI2,522
ATP13A4,6430
MS4A1,413
RTN1,3740
SCD,873
FGFR4,7002
ADAM12,7619
C15orf48,39
FNDC1,5819
AIF1L,5333
CKB,12779
REEP1,4801
PRSS21,842
C6orf141,8606
C21orf15,7541
ZNF703,1449
CAPN13,1910
IRX4,12614
KIF5C,8517
CLDN5,12560
CDO1,267
IL6ST,5285
C5orf46,1113
GPRC5A,618
KLRG2,1550
TSPAN7,7039
KCNK2,3670
COL1A1,159
TNC,6261
BNIPL,4095
CCDC160,9898
B4GALNT3,63
WLS,894
MSI1,13424
SESN3,2284
CD3D,422
COL3A1,4902
SERPINA1,270
SYT12,10055
CKMT1B,6984
SULT2B1,8029
IBSP,6558
MIR4664,2350
SLC19A3,69
PHGDH,11456
RGS22,12615
CSTA,3161
NAT8L,916
TMPRSS2,4733
COL8A1,12946
HSH2D,157
OASL,168
TINAGL1,3970
FAM129A,7156
ADM,428
STEAP2,8872
KIAA1199,8371
IL34,11945
SRPK3,10858
CAPN9,288
LOC100128252,7095
RIIAD1,11943
GPRIN2,8280
CCL5,809
TGFB2,8112
ORM1,5445
GPR126,8582
HPGD,1735
WNT7B,929
TUBA3D,9468
COL12A1,10458
MIR21,7507
MMP10,3604
CLDN1,4054
TCF7L1,6481
CD2,828
RASEF,5922
DUSP1,7969
C4orf19,10675
FMOD,7466
KRT6A,4294
SFRP2,6803
C16orf45,4274
TOP2A,698
UBXN10,4414
EGF,530
INPP5J,6674
LAMP3,199
LOC375295,1245
COL1A2,2315
AURKB,373
LY6D,11595
GREM1,334
PSD3,11614
MUM1L1,3216
MDFI,8764
CYP4F8,223
NFASC,1342
SGPP2,5072
ENPP5,2559
VCAN,2422
ITM2A,736
PM20D2,5019
TBX3,4494
ZBTB7C,10880
RASAL1,11898
ARNT2,449
ENPP2,2417
FST,5010
SORBS2,9552
SYCP2,1861
BIRC5,186
MIR4483,7321
PIP5K1B,2408
LAD1,961
NOSTRIN,8692
GATA2,11871
AMIGO2,1286
SLC44A5,11949
FAM83D,2530
TNNI3,1076
SEPT3,6439
HIST1H2BF,5118
CELSR1,190
COL9A2,866
CACNA1D,812
MIR4461,1089
ARHGEF38,8219
CCL8,8196
COL5A2,4986
TM4SF1,7939
LOC100507584,11073
HLF,238
IFI44L,2202
CCL13,8723
FAM83B,9959
ITIH5,322
TNFRSF18,20
SCUBE1,11125
HIST1H2BD,13483
TMEM63C,5087
HBA1,208
